time_taken_in_seconds     average_speed    no_of_stops     risk
0                       195.1184164372975      0          Maybe Bot
4                       57.206474598595946     3          Human
1                       190.14213525185514     0          Suspicious
3                       67.50922784228734      0          Maybe Human
4                       100.8862333338916      0          Maybe Human
0                       152.67441235039375     0          Maybe Bot
2                       139.55317518920036     0          Suspicious
4                       51.52504437987455      2          Human
2                       139.09469677284308     0          Maybe Human
2                       109.3283112917632      0          Maybe Human
2                       93.44164590137758      0          Maybe Human
1                       193.8931783458337      1          Maybe Human
2                       709.0295730469741      1          Human
